adduser	3.134
libdrm-amdgpu1:arm64	2.4.114-1+b1
libdrm-common	2.4.114-1
libdrm-nouveau2:arm64	2.4.114-1+b1
libdrm-radeon1:arm64	2.4.114-1+b1
libdrm2:arm64	2.4.114-1+b1
libedit2:arm64	3.1-20221030-2
libelf1:arm64	0.188-2.1
libepoxy0:arm64	1.5.10-1
libespeak-ng1:arm64	1.51+dfsg-10+deb12u2
libexpat1:arm64	2.5.0-1+deb12u3
libext2fs2:arm64	1.47.0-2+b2
libffi8:arm64	3.4.4-1
libflac12:arm64	1.4.2+ds-2
libflite1:arm64	2.2-5
libfontconfig1:arm64	2.14.1-4
libfreetype6:arm64	2.12.1+dfsg-5+deb12u4
libfribidi0:arm64	1.0.8-2.1
libgbm1:arm64	22.3.6-1+deb12u2
libgcc-s1:arm64	12.2.0-14+deb12u1
libgcrypt20:arm64	1.10.1-3+deb12u1
libgdbm6:arm64	1.23-3
libgdk-pixbuf-2.0-0:arm64	2.42.10+dfsg-1+deb12u4
libgdk-pixbuf2.0-common	2.42.10+dfsg-1+deb12u4
libgfortran5:arm64	12.2.0-14+deb12u1
libgl1:arm64	1.6.0-1
libgl1-mesa-dri:arm64	22.3.6-1+deb12u2
libglapi-mesa:arm64	22.3.6-1+deb12u2
libglib2.0-0:arm64	2.74.6-2+deb12u9
libglvnd0:arm64	1.6.0-1
libglx-mesa0:arm64	22.3.6-1+deb12u2
libglx0:arm64	1.6.0-1
libgme0:arm64	0.6.3-6
libgmp10:arm64	2:6.2.1+dfsg1-1.1
libgnutls30:arm64	3.7.9-2+deb12u7
libgomp1:arm64	12.2.0-14+deb12u1
libgpg-error0:arm64	1.46-1
libgraphite2-3:arm64	1.3.14-1+deb12u1
libgsm1:arm64	1.0.22-1
libgssapi-krb5-2:arm64	1.20.1-2+deb12u5
libharfbuzz0b:arm64	6.0.0+dfsg-3
libhogweed6:arm64	3.8.1-2
libhwy1:arm64	1.0.3-3+deb12u1
libicu72:arm64	72.1-3+deb12u1
libidn2-0:arm64	2.3.3-1+b1
libiec61883-0:arm64	1.2.0-6+b1
libjack-jackd2-0:arm64	1.9.21~dfsg-3
libjbig0:arm64	2.1-6.1
libjpeg62-turbo:arm64	1:2.1.5-2
libjxl0.7:arm64	0.7.0-10+deb12u1
libk5crypto3:arm64	1.20.1-2+deb12u5
libkeyutils1:arm64	1.6.3-2
libkrb5-3:arm64	1.20.1-2+deb12u5
libkrb5support0:arm64	1.20.1-2+deb12u5
liblapack3:arm64	3.11.0-2
liblcms2-2:arm64	2.14-2+deb12u1
liblerc4:arm64	4.0.0+ds-2
liblilv-0-0:arm64	0.24.14-1
libllvm15:arm64	1:15.0.6-4+b1
liblz4-1:arm64	1.9.4-1
liblzma5:arm64	5.4.1-1+deb12u1
libmbedcrypto7:arm64	2.28.3-1
libmd0:arm64	1.0.4-2
libmount1:arm64	2.38.1-5+deb12u3
libmp3lame0:arm64	3.100-6
libmpg123-0:arm64	1.31.2-1+deb12u1
libmysofa1:arm64	1.3.1~dfsg0-1
libncursesw6:arm64	6.4-4
libnettle8:arm64	3.8.1-2
libnorm1:arm64	1.5.9+dfsg-2
libnuma1:arm64	2.0.16-1
libogg0:arm64	1.3.5-3
libopenal-data	1:1.19.1-2
libopenal1:arm64	1:1.19.1-2
libopenjp2-7:arm64	2.5.0-2+deb12u3
libopenmpt0:arm64	0.6.9-1
libopus0:arm64	1.3.1-3
libp11-kit0:arm64	0.24.1-2
libpam-modules:arm64	1.5.2-6+deb12u2
libpam-modules-bin	1.5.2-6+deb12u2
libpam-runtime	1.5.2-6+deb12u2
libpam0g:arm64	1.5.2-6+deb12u2
libpango-1.0-0:arm64	1.50.12+ds-1
libpangocairo-1.0-0:arm64	1.50.12+ds-1
libpangoft2-1.0-0:arm64	1.50.12+ds-1
libpcaudio0:arm64	1.2-2
libpcre2-8-0:arm64	10.42-1
libpgm-5.3-0:arm64	5.3.128~dfsg-2
libpixman-1-0:arm64	0.42.2-1
libplacebo208:arm64	4.208.0-3
libpng16-16:arm64	1.6.39-2+deb12u5
libpocketsphinx3:arm64	0.8+5prealpha+1-15
libportaudio2:arm64	19.6.0-1.2
libpostproc56:arm64	7:5.1.9-0+deb12u1
libpulse0:arm64	16.1+dfsg1-2+b1
librabbitmq4:arm64	0.11.0-1+deb12u3
librav1e0:arm64	0.5.1-6
libraw1394-11:arm64	2.1.2-2
libreadline8:arm64	8.2-1.3
librist4:arm64	0.2.7+dfsg-1
librsvg2-2:arm64	2.54.7+dfsg-1~deb12u1
librubberband2:arm64	3.1.2+dfsg0-1
libsamplerate0:arm64	0.2.2-3
libsdl2-2.0-0:arm64	2.26.5+dfsg-1
libseccomp2:arm64	2.5.4-1+deb12u1
libselinux1:arm64	3.4-1+b6
libsemanage-common	3.4-1
libsemanage2:arm64	3.4-1+b5
libsensors-config	1:3.6.0-7.1
libsensors5:arm64	1:3.6.0-7.1
libsepol2:arm64	3.4-2.1
libserd-0-0:arm64	0.30.16-1
libshine3:arm64	3.1.1-2
libslang2:arm64	2.3.3-3
libsmartcols1:arm64	2.38.1-5+deb12u3
libsnappy1v5:arm64	1.1.9-3
libsndfile1:arm64	1.2.0-1+deb12u1
libsndio7.0:arm64	1.9.0-0.3+b2
libsodium23:arm64	1.0.18-1+deb12u1
libsonic0:arm64	0.2.0-12
libsord-0-0:arm64	0.16.14+git221008-1
libsoxr0:arm64	0.1.3-4
libspeex1:arm64	1.2.1-2
libsphinxbase3:arm64	0.8+5prealpha+1-16
libsqlite3-0:arm64	3.40.1-2+deb12u2
libsratom-0-0:arm64	0.6.14-1
libsrt1.5-gnutls:arm64	1.5.1-1+deb12u1
libss2:arm64	1.47.0-2+b2
libssh-gcrypt-4:arm64	0.10.6-0+deb12u2
libssl3:arm64	3.0.20-1~deb12u2
libstdc++6:arm64	12.2.0-14+deb12u1
libsvtav1enc1:arm64	1.4.1+dfsg-1
libswresample4:arm64	7:5.1.9-0+deb12u1
libswscale6:arm64	7:5.1.9-0+deb12u1
libsystemd0:arm64	252.39-1~deb12u2
libtasn1-6:arm64	4.19.0-2+deb12u1
libthai-data	0.1.29-1
libthai0:arm64	0.1.29-1
libtheora0:arm64	1.1.1+dfsg.1-16.1+deb12u1
libtiff6:arm64	4.5.0-6+deb12u4
libtinfo6:arm64	6.4-4
libtwolame0:arm64	0.4.0-2
libudev1:arm64	252.39-1~deb12u2
libudfread0:arm64	1.1.2-1
libunistring2:arm64	1.0-2
libusb-1.0-0:arm64	2:1.0.26-1
libuuid1:arm64	2.38.1-5+deb12u3
libva-drm2:arm64	2.17.0-1
libva-x11-2:arm64	2.17.0-1
libva2:arm64	2.17.0-1
libvdpau1:arm64	1.5-2
libvidstab1.1:arm64	1.1.0-2+b1
libvorbis0a:arm64	1.3.7-1
libvorbisenc2:arm64	1.3.7-1
libvorbisfile3:arm64	1.3.7-1
libvpx7:arm64	1.12.0-1+deb12u5
libvulkan1:arm64	1.3.239.0-1
libwayland-client0:arm64	1.21.0-1
libwayland-cursor0:arm64	1.21.0-1
libwayland-egl1:arm64	1.21.0-1
libwayland-server0:arm64	1.21.0-1
libwebp7:arm64	1.2.4-0.2+deb12u1
libwebpmux3:arm64	1.2.4-0.2+deb12u1
libx11-6:arm64	2:1.8.4-2+deb12u2
libx11-data	2:1.8.4-2+deb12u2
libx11-xcb1:arm64	2:1.8.4-2+deb12u2
libx264-164:arm64	2:0.164.3095+gitbaee400-3
libx265-199:arm64	3.5-2+b1
libxau6:arm64	1:1.0.9-1
libxcb-dri2-0:arm64	1.15-1
libxcb-dri3-0:arm64	1.15-1
libxcb-glx0:arm64	1.15-1
libxcb-present0:arm64	1.15-1
libxcb-randr0:arm64	1.15-1
libxcb-render0:arm64	1.15-1
libxcb-shape0:arm64	1.15-1
libxcb-shm0:arm64	1.15-1
libxcb-sync1:arm64	1.15-1
libxcb-xfixes0:arm64	1.15-1
libxcb1:arm64	1.15-1
libxcursor1:arm64	1:1.2.1-1
libxdmcp6:arm64	1:1.1.2-3
libxext6:arm64	2:1.3.4-1+b1
libxfixes3:arm64	1:6.0.0-2
libxi6:arm64	2:1.8-1+b1
libxkbcommon0:arm64	1.5.0-1
libxml2:arm64	2.9.14+dfsg-1.3~deb12u6
libxrandr2:arm64	2:1.5.2-2+b1
libxrender1:arm64	1:0.9.10-1.1
libxshmfence1:arm64	1.3-1
libxss1:arm64	1:1.2.3-1
libxv1:arm64	2:1.0.11-1.1
libxvidcore4:arm64	2:1.3.7-1
libxxf86vm1:arm64	1:1.1.4-1+b2
libxxhash0:arm64	0.8.1-1
libz3-4:arm64	4.8.12-3.1
libzimg2:arm64	3.0.4+ds1-1
libzmq5:arm64	4.3.4-6
libzstd1:arm64	1.5.4+dfsg2-5
libzvbi-common	0.2.41-1+deb12u1
libzvbi0:arm64	0.2.41-1+deb12u1
login	1:4.13+dfsg1-1+deb12u2
logsave	1.47.0-2+b2
mawk	1.3.4.20200120-3.1
mount	2.38.1-5+deb12u3
ncurses-base	6.4-4
ncurses-bin	6.4-4
netbase	6.4
ocl-icd-libopencl1:arm64	2.3.1-1
openssl	3.0.20-1~deb12u2
passwd	1:4.13+dfsg1-1+deb12u2
perl-base	5.36.0-7+deb12u3
readline-common	8.2-1.3
sed	4.9-1+deb12u1
shared-mime-info	2.2-1
sysvinit-utils	3.06-4
tar	1.34+dfsg-1.2+deb12u1
tzdata	2026b-0+deb12u1
usr-is-merged	37~deb12u1
util-linux	2.38.1-5+deb12u3
util-linux-extra	2.38.1-5+deb12u3
x11-common	1:7.7+23
xkb-data	2.35.1-1
zlib1g:arm64	1:1.2.13.dfsg-1
